Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 16 Oct 2020 17:10:00 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1949-0015-CHL,1949,0015,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,Chile,CHL,South America,Americas,Tierra del Fuego,,Tsunami/Tidal wave,,,,,,8,Richter,-54,-71,02:53,,1949,12,17,1949,12,17,6,18,,,18,,,5200,"9,3275724919"
1949-0024-BRA,1949,0024,Natural,Meteorological,Storm,,,,Kill,Brazil,BRA,South America,Americas,,,,,,,,,,Kph,,,,,1949,5,,1949,5,,100,,,,,,,,"9,3275724919"
1949-0002-COL,1949,0002,Natural,Geophysical,Volcanic activity,Ash fall,,Purace,Kill,Colombia,COL,South America,Americas,,,,,,,,,,,,,,,1949,,,1949,,,1000,,,,,,,,"9,3275724919"
1949-0012-GTM,1949,0012,Natural,Hydrological,Flood,,,,Kill,Guatemala,GTM,Central America,Americas,East,,,,,,,,,Km2,,,,,1949,10,,1949,10,,40000,,,,,,,15000,"9,3275724919"
1950-0009-ATG,1950,0009,Natural,Meteorological,Storm,Tropical cyclone,,Dog,OFDA,Antigua and Barbuda,ATG,Caribbean,Americas,,,,,,,,,,Kph,,,,,1950,9,1,1950,9,1,2,,,,,,,1000,"9,4319369394"
1950-0012-CAN,1950,0012,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,Canada,CAN,Northern America,Americas,Regina,,,,,No,No,,,Kph,,,,,1950,11,,1950,11,,,,,,,,,,"9,4319369394"
1950-0017-CAN,1950,0017,Natural,Hydrological,Flood,,,,Affect,Canada,CAN,Northern America,Americas,"Winnipeg, Manitoba",,,,,,,,,Km2,,,,,1950,5,5,1950,5,5,1,,107000,,107000,,,100000,"9,4319369394"
1950-0028-COL,1950,0028,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Colombia,COL,South America,Americas,"Santander, Amboledas",,,,,,,,,Richter,7.8,-72.5,21:35,,1950,7,8,1950,7,8,211,,,40000,40000,,,5000,"9,4319369394"
1950-0023-ECU,1950,0023,Natural,Hydrological,Flood,,,,Kill,Ecuador,ECU,South America,Americas,,,,,,,,,,Km2,,,,,1950,4,,1950,4,,50,,,,,,,,"9,4319369394"
1952-0010-HTI,1952,0010,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,Haiti,HTI,Caribbean,Americas,Anse-a-Veau,,,,,,,,,Richter,18.3,73.2,,,1952,10,27,1952,10,27,6,,,,,,,20000,"10,4103536344"
